Data,Casos,id,Municipio,Estado
2014-01-05,7,"3300100",ANGRA DOS REIS,RJ
2014-01-12,24,"3300100",ANGRA DOS REIS,RJ
2014-01-19,21,"3300100",ANGRA DOS REIS,RJ
2014-01-26,15,"3300100",ANGRA DOS REIS,RJ
2014-02-02,4,"3300100",ANGRA DOS REIS,RJ
2014-02-09,27,"3300100",ANGRA DOS REIS,RJ
2014-02-16,15,"3300100",ANGRA DOS REIS,RJ
2014-02-23,15,"3300100",ANGRA DOS REIS,RJ
2014-03-02,22,"3300100",ANGRA DOS REIS,RJ
2014-03-09,13,"3300100",ANGRA DOS REIS,RJ
2014-03-16,12,"3300100",ANGRA DOS REIS,RJ
2014-03-23,12,"3300100",ANGRA DOS REIS,RJ
2014-03-30,12,"3300100",ANGRA DOS REIS,RJ
2014-04-06,6,"3300100",ANGRA DOS REIS,RJ
2014-04-13,19,"3300100",ANGRA DOS REIS,RJ
2014-04-20,7,"3300100",ANGRA DOS REIS,RJ
2014-05-04,11,"3300100",ANGRA DOS REIS,RJ
2014-05-11,12,"3300100",ANGRA DOS REIS,RJ
2014-05-18,9,"3300100",ANGRA DOS REIS,RJ
2014-05-25,11,"3300100",ANGRA DOS REIS,RJ
2014-06-01,16,"3300100",ANGRA DOS REIS,RJ
2014-06-08,5,"3300100",ANGRA DOS REIS,RJ
2014-06-15,20,"3300100",ANGRA DOS REIS,RJ
2014-06-22,4,"3300100",ANGRA DOS REIS,RJ
2014-06-29,13,"3300100",ANGRA DOS REIS,RJ
2014-07-06,13,"3300100",ANGRA DOS REIS,RJ
2014-07-13,13,"3300100",ANGRA DOS REIS,RJ
2014-07-20,3,"3300100",ANGRA DOS REIS,RJ
2014-07-27,2,"3300100",ANGRA DOS REIS,RJ
2014-08-03,0,"3300100",ANGRA DOS REIS,RJ
2014-08-10,1,"3300100",ANGRA DOS REIS,RJ
2014-08-17,4,"3300100",ANGRA DOS REIS,RJ
2014-08-24,1,"3300100",ANGRA DOS REIS,RJ
2014-08-31,6,"3300100",ANGRA DOS REIS,RJ
2014-09-07,2,"3300100",ANGRA DOS REIS,RJ
2014-09-14,0,"3300100",ANGRA DOS REIS,RJ
2014-09-21,2,"3300100",ANGRA DOS REIS,RJ
2014-09-28,5,"3300100",ANGRA DOS REIS,RJ
2014-10-05,2,"3300100",ANGRA DOS REIS,RJ
2014-10-12,3,"3300100",ANGRA DOS REIS,RJ
2014-10-19,4,"3300100",ANGRA DOS REIS,RJ
2014-10-26,0,"3300100",ANGRA DOS REIS,RJ
2014-11-02,0,"3300100",ANGRA DOS REIS,RJ
2014-11-16,1,"3300100",ANGRA DOS REIS,RJ
2014-11-23,4,"3300100",ANGRA DOS REIS,RJ
2014-11-30,2,"3300100",ANGRA DOS REIS,RJ
2014-12-07,2,"3300100",ANGRA DOS REIS,RJ
2014-12-14,7,"3300100",ANGRA DOS REIS,RJ
2014-12-21,4,"3300100",ANGRA DOS REIS,RJ
2014-12-28,1,"3300100",ANGRA DOS REIS,RJ
2015-01-04,6,"3300100",ANGRA DOS REIS,RJ
2015-01-11,6,"3300100",ANGRA DOS REIS,RJ
2015-01-18,6,"3300100",ANGRA DOS REIS,RJ
2015-01-25,14,"3300100",ANGRA DOS REIS,RJ
2015-02-01,29,"3300100",ANGRA DOS REIS,RJ
2015-02-15,76,"3300100",ANGRA DOS REIS,RJ
2015-02-22,182,"3300100",ANGRA DOS REIS,RJ
2015-03-01,389,"3300100",ANGRA DOS REIS,RJ
2015-03-08,466,"3300100",ANGRA DOS REIS,RJ
2015-03-15,764,"3300100",ANGRA DOS REIS,RJ
2015-03-22,646,"3300100",ANGRA DOS REIS,RJ
2015-03-29,634,"3300100",ANGRA DOS REIS,RJ
2015-04-05,778,"3300100",ANGRA DOS REIS,RJ
2015-04-12,925,"3300100",ANGRA DOS REIS,RJ
2015-04-19,501,"3300100",ANGRA DOS REIS,RJ
2015-04-26,682,"3300100",ANGRA DOS REIS,RJ
2015-05-03,681,"3300100",ANGRA DOS REIS,RJ
2015-05-10,728,"3300100",ANGRA DOS REIS,RJ
2015-05-17,345,"3300100",ANGRA DOS REIS,RJ
2015-05-24,317,"3300100",ANGRA DOS REIS,RJ
2015-05-31,205,"3300100",ANGRA DOS REIS,RJ
2015-06-07,215,"3300100",ANGRA DOS REIS,RJ
2015-06-14,155,"3300100",ANGRA DOS REIS,RJ
2015-06-21,100,"3300100",ANGRA DOS REIS,RJ
2015-06-28,88,"3300100",ANGRA DOS REIS,RJ
2015-07-05,49,"3300100",ANGRA DOS REIS,RJ
2015-07-12,30,"3300100",ANGRA DOS REIS,RJ
2015-07-19,16,"3300100",ANGRA DOS REIS,RJ
2015-07-26,7,"3300100",ANGRA DOS REIS,RJ
2015-08-02,18,"3300100",ANGRA DOS REIS,RJ
2015-08-09,16,"3300100",ANGRA DOS REIS,RJ
2015-08-16,21,"3300100",ANGRA DOS REIS,RJ
2015-08-23,5,"3300100",ANGRA DOS REIS,RJ
2015-09-06,7,"3300100",ANGRA DOS REIS,RJ
2015-09-13,3,"3300100",ANGRA DOS REIS,RJ
2015-09-20,7,"3300100",ANGRA DOS REIS,RJ
2015-09-27,2,"3300100",ANGRA DOS REIS,RJ
2015-10-04,4,"3300100",ANGRA DOS REIS,RJ
2015-10-11,2,"3300100",ANGRA DOS REIS,RJ
2015-10-18,8,"3300100",ANGRA DOS REIS,RJ
2015-10-25,3,"3300100",ANGRA DOS REIS,RJ
2015-11-01,5,"3300100",ANGRA DOS REIS,RJ
2015-11-08,6,"3300100",ANGRA DOS REIS,RJ
2015-11-15,10,"3300100",ANGRA DOS REIS,RJ
2015-11-22,13,"3300100",ANGRA DOS REIS,RJ
2015-11-29,5,"3300100",ANGRA DOS REIS,RJ
2015-12-06,7,"3300100",ANGRA DOS REIS,RJ
2015-12-13,11,"3300100",ANGRA DOS REIS,RJ
2015-12-20,2,"3300100",ANGRA DOS REIS,RJ
2015-12-27,2,"3300100",ANGRA DOS REIS,RJ
2016-01-03,11,"3300100",ANGRA DOS REIS,RJ
2016-01-10,21,"3300100",ANGRA DOS REIS,RJ
2016-01-17,42,"3300100",ANGRA DOS REIS,RJ
2016-01-24,35,"3300100",ANGRA DOS REIS,RJ
2016-01-31,36,"3300100",ANGRA DOS REIS,RJ
2016-02-07,19,"3300100",ANGRA DOS REIS,RJ
2016-02-14,57,"3300100",ANGRA DOS REIS,RJ
2016-02-21,68,"3300100",ANGRA DOS REIS,RJ
2016-02-28,34,"3300100",ANGRA DOS REIS,RJ
2016-03-06,39,"3300100",ANGRA DOS REIS,RJ
2016-03-20,62,"3300100",ANGRA DOS REIS,RJ
2016-03-27,50,"3300100",ANGRA DOS REIS,RJ
2016-04-10,103,"3300100",ANGRA DOS REIS,RJ
2016-04-17,62,"3300100",ANGRA DOS REIS,RJ
2016-04-24,110,"3300100",ANGRA DOS REIS,RJ
2016-05-01,68,"3300100",ANGRA DOS REIS,RJ
2016-05-08,68,"3300100",ANGRA DOS REIS,RJ
2016-05-15,78,"3300100",ANGRA DOS REIS,RJ
2016-05-22,47,"3300100",ANGRA DOS REIS,RJ
2016-05-29,44,"3300100",ANGRA DOS REIS,RJ
2016-06-05,64,"3300100",ANGRA DOS REIS,RJ
2016-06-12,6,"3300100",ANGRA DOS REIS,RJ
2016-06-19,2,"3300100",ANGRA DOS REIS,RJ
2016-06-26,1,"3300100",ANGRA DOS REIS,RJ
2016-07-03,6,"3300100",ANGRA DOS REIS,RJ
2016-07-10,2,"3300100",ANGRA DOS REIS,RJ
2016-07-17,5,"3300100",ANGRA DOS REIS,RJ
2016-07-24,8,"3300100",ANGRA DOS REIS,RJ
2016-07-31,10,"3300100",ANGRA DOS REIS,RJ
2016-08-07,11,"3300100",ANGRA DOS REIS,RJ
2016-08-14,11,"3300100",ANGRA DOS REIS,RJ
2016-08-21,14,"3300100",ANGRA DOS REIS,RJ
2016-08-28,15,"3300100",ANGRA DOS REIS,RJ
2016-09-04,12,"3300100",ANGRA DOS REIS,RJ
2016-09-11,9,"3300100",ANGRA DOS REIS,RJ
2016-09-18,2,"3300100",ANGRA DOS REIS,RJ
2016-09-25,1,"3300100",ANGRA DOS REIS,RJ
2016-10-02,1,"3300100",ANGRA DOS REIS,RJ
2016-10-09,0,"3300100",ANGRA DOS REIS,RJ
2016-10-16,4,"3300100",ANGRA DOS REIS,RJ
